Number,中文名称,English Name
1,Aatrox,亚托克斯
2,Ahri,阿狸
3,Akali,阿卡丽
4,Akshan,阿克尚
5,Alistar,阿利斯塔
6,Amumu,阿木木
7,Anivia,艾尼维亚
8,Annie,安妮
9,Ao Shin,敖兴
10,Aphelios,厄斐琉斯
11,Ashe,艾希
12,Aurelion Sol,奥瑞利安·索尔
13,Azir,阿兹尔
14,Bard,巴德
15,Bel'Veth,卑尔维斯
16,Blitzcrank,布里茨
17,Brand,布兰德
18,Braum,布隆
19,Caitlyn,凯特琳
20,Camille,卡蜜尔
21,Cassiopeia,卡西奥佩娅
22,Champion,英雄
23,Cho'Gath,科加斯
24,Corki,库奇
25,Darius,德莱厄斯
26,Diana,黛安娜
27,Dr. Mundo,蒙多医生
28,Draven,德莱文
29,Ekko,艾克
30,Elise,伊莉丝
31,Evelynn,伊芙琳
32,Ezreal,伊泽瑞尔
33,Fiddlesticks,费德提克
34,Fiora,菲奥娜
35,Fizz,菲兹
36,Galio,加里奥
37,Gangplank,普朗克
38,Garen,盖伦
39,Gnar,纳尔
40,Gragas,古拉加斯
41,Graves,格雷福斯
42,Gwen,格温
43,Hecarim,赫卡里姆
44,Heimerdinger,黑默丁格
45,Illaoi,俄洛伊
46,Irelia,艾瑞莉娅
47,Ivern,艾翁
48,Janna,迦娜
49,Jarvan IV,嘉文四世
50,Jax,贾克斯
51,Jayce,杰斯
52,Jhin,烬
53,Jinx,金克丝
54,K'Sante,奎桑提
55,Kai'Sa,卡莎
56,Kalista,卡莉丝塔
57,Karma,卡尔玛
58,Karthus,卡尔萨斯
59,Kassadin,卡萨丁
60,Katarina,卡特琳娜
61,Kayle,凯尔
62,Kayn,凯隐
63,Kennen,凯南
64,Kha'Zix,卡兹克
65,Kindred,千珏
66,Kled,克烈
67,Kog'Maw,克格莫
68,Leblanc,乐芙兰
69,Lee Sin,李青
70,Leona,蕾欧娜
71,Lillia,莉莉娅
72,Lissandra,丽桑卓
73,Lucian,卢锡安
74,Lulu,璐璐
75,Lux,拉克丝
76,Malphite,墨菲特
77,Malzahar,玛尔扎哈
78,Maokai,茂凯
79,Master Yi,易
80,Miss Fortune,厄运小姐
81,Mordekaiser,莫德凯撒
82,Morgana,莫甘娜
83,Nami,娜美
84,Nasus,内瑟斯
85,Nautilus,诺提勒斯
86,Neeko,妮蔻
87,Nidalee,奈德丽
88,Nilah,尼菈
89,Nocturne,魔腾
90,Nunu & Willump,努努和威朗普
91,Olaf,奥拉夫
92,Orianna,奥莉安娜
93,Ornn,奥恩
94,Pantheon,潘森
95,Poppy,波比
96,Pyke,派克
97,Quinn,奎因
98,Qyiana,奇亚娜
99,Rakan,洛
100,Rammus,拉莫斯
101,Rek'Sai,雷克塞
102,Rell,芮尔
103,Renata Glasc,烈娜塔·戈拉斯克
104,Renekton,雷克顿
105,Rengar,雷恩加尔
106,Riven,锐雯
107,Rumble,兰博
108,Ryze,瑞兹
109,Samira,莎弥拉
110,Sejuani,瑟庄妮
111,Senna,赛娜
112,Seraphine,萨勒芬妮
113,Sett,瑟提
114,Shaco,萨科
115,Shen,慎
116,Shyvana,希瓦娜
117,Singed,辛吉德
118,Sion,赛恩
119,Sivir,希维尔
120,Skarner,斯卡纳
121,Sona,娑娜
122,Soraka,索拉卡
123,Swain,斯维因
124,Sylas,塞拉斯
125,Syndra,辛德拉
126,Tahm Kench,塔姆
127,Taliyah,塔莉垭
128,Talon,泰隆
129,Taric,塔里克
130,Teemo,提莫
131,Thresh,锤石
132,Tristana,崔丝塔娜
133,Trundle,特朗德尔
134,Tryndamere,泰达米尔
135,Twisted Fate,崔斯特
136,Twitch,图奇
137,Udyr,乌迪尔
138,Urgot,厄加特
139,Varus,韦鲁斯
140,Vayne,薇恩
141,Veigar,维迦
142,Vel'Koz,维克兹
143,Vex,薇古丝
144,Vi,蔚
145,Viego,佛耶戈
146,Viktor,维克托
147,Vladimir,弗拉基米尔
148,Volibear,沃利贝尔
149,Warwick,沃里克
150,Wukong,孙悟空
151,Xayah,霞
152,Xerath,泽拉斯
153,Xin Zhao,赵信
154,Yasuo,亚索
155,Yone,永恩
156,Yorick,约里克
157,Yuumi,悠米
158,Zac,扎克
159,Zed,劫
160,Zeri,泽丽
161,Ziggs,吉格斯
162,Zilean,基兰
163,Zoe,佐伊
164,Zyra,婕拉
165,Milio,米利欧
166,Naafiri,纳亚菲利
